电影名	评分	评价人次	短评	
魂断蓝桥	8.8	145199人评价	中国式内在的美国电影。	
猜火车	8.5	275723人评价	不可猜的青春迷笛。 	
血战钢锯岭	8.7	381225人评价	优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。	
穿越时空的少女	8.6	210100人评价	爱上未来的你。 	
我是山姆	8.8	123063人评价	爱并不需要智商 。	
冰川时代	8.5	315672人评价	松鼠才是角儿。	
人工智能	8.6	218878人评价	对爱的执着，可以超越一切。	
爆裂鼓手	8.6	274016人评价	这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。	
浪潮	8.7	151034人评价	世界离独裁只有五天。	
未麻的部屋	8.8	117428人评价	好的剧本是，就算你猜到了结局也猜不到全部。	
罗生门	8.7	146863人评价	人生的N种可能性。	
朗读者	8.5	303690人评价	当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 	
被解救的姜戈	8.6	296435人评价	热血沸腾，那个低俗、性感的无耻混蛋又来了。	
头脑特工队	8.7	273015人评价	愿我们都不用长大，每一座城堡都能永远存在。	
香水	8.4	313442人评价	一个单凭体香达到高潮的男人。	
阿飞正传	8.5	241801人评价	王家卫是一种风格，张国荣是一个代表。	
你的名字。	8.4	579361人评价	穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。	
可可西里	8.7	147681人评价	坚硬的信仰。	
恐怖游轮	8.4	378719人评价	不要企图在重复中寻找已经失去的爱。	
房间	8.8	186397人评价	被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。	
一次别离	8.7	149037人评价	只有有信仰的人才能说出事实真相。	
战争之王	8.6	194742人评价	做一颗让别人需要你的棋子。	
追随	8.9	92888人评价	诺兰的牛逼来源于内心散发出的恐惧。	
撞车	8.6	194012人评价	天使与魔鬼的冲撞。	
模仿游戏	8.6	297468人评价	他给机器起名“克里斯托弗”，因为这是他初恋的名字。	
一个叫欧维的男人决定去死	8.8	150286人评价	惠及一生的美丽。	
忠犬八公物语	9.0	73704人评价	养狗三日，便会对你终其一生。	
