Created at	Mon Nov  5 10:03:13 2018
	244183人评价	简评:关于连环杀人悬案的集体回忆。

123	七武士	评分:9.2
	91381人评价	简评:时代悲歌。

124	萤火虫之墓	评分:8.7
	233931人评价	简评:幸福是生生不息，却难以触及的远。 

125	怪兽电力公司	评分:8.6
	291392人评价	简评:不要给它起名字，起了名字就有感情了。

126	谍影重重3	评分:8.7
	211624人评价	简评:像吃了苏打饼一样干脆的电影。

127	喜宴	评分:8.8
	163739人评价	简评:中国家庭的喜怒哀乐忍。

128	小森林 冬春篇	评分:9.0
	148524人评价	简评:尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。

129	贫民窟的百万富翁	评分:8.5
	440233人评价	简评:上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁

130	电锯惊魂	评分:8.7
	229240人评价	简评:真相就在眼前。

131	东邪西毒	评分:8.6
	297313人评价	简评:电影诗。

132	请以你的名字呼唤我	评分:8.8
	229641人评价	简评:沉醉在电影的情感和视听氛围中无法自拔。

133	记忆碎片	评分:8.6
	321340人评价	简评:一个针管引发的血案。

134	真爱至上	评分:8.5
	356115人评价	简评:爱，是个动词。

135	黑天鹅	评分:8.5
	476318人评价	简评:黑暗之美。

136	疯狂原始人	评分:8.7
	428317人评价	简评:老少皆宜，这就是好莱坞动画的魅力。

137	哈利·波特与死亡圣器(下)	评分:8.7
	323973人评价	简评:10年的完美句点。

138	萤火之森	评分:8.8
	196801人评价	简评:触不到的恋人。

139	7号房的礼物	评分:8.7
	213574人评价	简评:《我是山姆》的《美丽人生》。

140	雨人	评分:8.6
	233557人评价	简评:生活在自己的世界里，也可以让周围的人显得可笑和渺小。

141	英雄本色	评分:8.6
	210237人评价	简评:英雄泪短，兄弟情长。 

142	卢旺达饭店	评分:8.9
	139951人评价	简评:当这个世界闭上双眼，他却敞开了怀抱。

143	海洋	评分:9.0
	106834人评价	简评:大海啊，不全是水。

144	心迷宫	评分:8.7
	219495人评价	简评:荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。

145	超能陆战队	评分:8.6
	445254人评价	简评:Balalala~~~

146	唐伯虎点秋香	评分:8.5
	408933人评价	简评:华太师是黄霑，吴镇宇四大才子之一。

147	蝙蝠侠：黑暗骑士崛起	评分:8.6
	341586人评价	简评:诺兰就是保证。

148	荒蛮故事	评分:8.8
	175929人评价	简评:始于荒诞，止于更荒诞。

149	傲慢与偏见	评分:8.5
	354690人评价	简评:爱是摈弃傲慢与偏见之后的曙光。

150	海边的曼彻斯特	评分:8.6
	241318人评价	简评:我们都有权利不与自己的过去和解。

151	虎口脱险	评分:8.9
	120931人评价	简评:永远看不腻的喜剧。

152	纵横四海	评分:8.7
	178781人评价	简评:香港浪漫主义警匪动作片的巅峰之作。

153	燃情岁月	评分:8.7
	164272人评价	简评:传奇，不是每个人都可以拥有。

154	教父3	评分:8.8
	154965人评价	简评:任何信念的力量，都无法改变命运。

155	时空恋旅人	评分:8.6
	243050人评价	简评:把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。

156	玩具总动员3	评分:8.8
	222062人评价	简评:跨度十五年的欢乐与泪水。

157	花样年华	评分:8.5
	284501人评价	简评:偷情本没有这样美。

158	完美的世界	评分:9.0
	96991人评价	简评:坏人的好总是比好人的好来得更感人。

159	恋恋笔记本	评分:8.5
	328379人评价	简评:爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 

160	无人知晓	评分:9.1
	90572人评价	简评:我的平常生活就是他人的幸福。

161	达拉斯买家俱乐部	评分:8.7
	218674人评价	简评:Jared Leto的腿比女人还美！

162	二十二	评分:8.7
	128898人评价	简评:有一些东西不应该被遗忘。

163	雨中曲	评分:9.0
	105458人评价	简评:骨灰级歌舞片。

164	魂断蓝桥	评分:8.8
	145199人评价	简评:中国式内在的美国电影。

165	猜火车	评分:8.5
	275723人评价	简评:不可猜的青春迷笛。 

166	血战钢锯岭	评分:8.7
	381225人评价	简评:优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。

167	穿越时空的少女	评分:8.6
	210100人评价	简评:爱上未来的你。 

168	我是山姆	评分:8.8
	123063人评价	简评:爱并不需要智商 。

169	冰川时代	评分:8.5
	315672人评价	简评:松鼠才是角儿。

170	人工智能	评分:8.6
	218878人评价	简评:对爱的执着，可以超越一切。

171	爆裂鼓手	评分:8.6
	274016人评价	简评:这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。

172	浪潮	评分:8.7
	151034人评价	简评:世界离独裁只有五天。

173	未麻的部屋	评分:8.8
	117428人评价	简评:好的剧本是，就算你猜到了结局也猜不到全部。

174	罗生门	评分:8.7
	146863人评价	简评:人生的N种可能性。

175	朗读者	评分:8.5
